delay,dimension,test_rmse,mean_rmse,std_rmse
3,24,",,,,,,,,,,,",3.83208997359087,1.0944537012471
9,21,",,,,,,,,,,,",3.83057430955458,1.03002964894438
3,23,",,,,,,,,,,,",3.82976866589438,1.08731503030408
9,22,",,,,,,,,,,,",3.81666252732538,1.01665116548561
10,19,",,,,,,,,,,,",3.81060000109011,1.15855453734123
4,18,",,,,,,,,,,,",3.80524876240234,1.08964262452987
10,20,",,,,,,,,,,,",3.78371754902712,1.0928777062544
4,19,",,,,,,,,,,,",3.7814607244997,1.09261054445668
4,21,",,,,,,,,,,,",3.77739509106048,1.06515780699317
4,20,",,,,,,,,,,,",3.77701240255291,1.08424456363072
10,21,",,,,,,,,,,,",3.77515026461289,1.06924378250239
4,22,",,,,,,,,,,,",3.77284899745887,1.07338085749668
5,18,",,,,,,,,,,,",3.75917544572272,1.1145764507312
10,22,",,,,,,,,,,,",3.7539506388978,1.05406611992429
9,24,",,,,,,,,,,,",3.74661023789172,1.05291287342607
8,18,",,,,,,,,,,,",3.74483139498825,1.10592020121825
6,18,",,,,,,,,,,,",3.74400135159377,1.14713947635183
3,25,",,,,,,,,,,,",3.74377986633589,1.07365726013631
9,23,",,,,,,,,,,,",3.74072832981274,1.03456020728728
5,19,",,,,,,,,,,,",3.74049849516885,1.12354700526578
4,23,",,,,,,,,,,,",3.73031395704092,1.10238663164027
7,18,",,,,,,,,,,,",3.72763088547634,1.13632473571478
4,24,",,,,,,,,,,,",3.72740274763202,1.10096627727959
5,21,",,,,,,,,,,,",3.72700129925048,1.09081016084065
5,22,",,,,,,,,,,,",3.72546966196118,1.09682283160958
5,20,",,,,,,,,,,,",3.72503134057398,1.09411451639922
6,19,",,,,,,,,,,,",3.71726019366442,1.14680508266961
8,19,",,,,,,,,,,,",3.70650830756294,1.09574577522755
6,20,",,,,,,,,,,,",3.69760769179593,1.10557387722936
10,24,",,,,,,,,,,,",3.69643277257073,1.08789954035332
6,21,",,,,,,,,,,,",3.69581865200209,1.09572507139932
6,22,",,,,,,,,,,,",3.6949765538412,1.10032481027274
10,23,",,,,,,,,,,,",3.69455744382928,1.07908842217113
7,19,",,,,,,,,,,,",3.69144198604804,1.12354365525313
5,24,",,,,,,,,,,,",3.69101772409946,1.13183422179253
5,23,",,,,,,,,,,,",3.69004662860352,1.12733744260706
8,20,",,,,,,,,,,,",3.68361288615179,1.04659563470533
8,21,",,,,,,,,,,,",3.67247073507156,1.01852851899449
9,25,",,,,,,,,,,,",3.67063004722473,1.03590228147519
8,22,",,,,,,,,,,,",3.66929417863334,1.01939532859094
7,20,",,,,,,,,,,,",3.66601943372778,1.07249704055238
6,24,",,,,,,,,,,,",3.66050311721998,1.13519878799441
6,23,",,,,,,,,,,,",3.65897768859596,1.12982595345216
7,21,",,,,,,,,,,,",3.65482587068731,1.04193866139443
7,22,",,,,,,,,,,,",3.65274091535477,1.04295563174157
4,25,",,,,,,,,,,,",3.64226870713363,1.07629943710197
3,26,",,,,,,,,,,,",3.63316913741967,1.03889196463989
3,27,",,,,,,,,,,,",3.62795006947931,1.03570003060247
8,23,",,,,,,,,,,,",3.62662774659524,1.04104833019375
8,24,",,,,,,,,,,,",3.62504108382666,1.04781749317766
7,23,",,,,,,,,,,,",3.61354914677685,1.06621161785535
7,24,",,,,,,,,,,,",3.61055110437596,1.06899016422278
10,25,",,,,,,,,,,,",3.60700892920092,1.07078341951587
5,25,",,,,,,,,,,,",3.60342777867576,1.09137707754811
6,25,",,,,,,,,,,,",3.57769654349292,1.11547410102875
9,26,",,,,,,,,,,,",3.55477320963832,1.04229325913468
4,26,",,,,,,,,,,,",3.55176061873599,1.04381197848152
8,25,",,,,,,,,,,,",3.55097167464722,1.03441032480411
4,27,",,,,,,,,,,,",3.55083503939143,1.05042175727223
7,25,",,,,,,,,,,,",3.53255059465099,1.05228185329849
9,27,",,,,,,,,,,,",3.52239339522109,0.984095663523022
5,26,",,,,,,,,,,,",3.51905481688634,1.05728617919841
5,27,",,,,,,,,,,,",3.50896374935701,1.05173641390803
10,26,",,,,,,,,,,,",3.50130799013973,1.06665047065682
6,26,",,,,,,,,,,,",3.49836037024002,1.10281270886115
6,27,",,,,,,,,,,,",3.48354141209939,1.0945194078144
10,27,",,,,,,,,,,,",3.47738804847711,1.02124741099162
8,26,",,,,,,,,,,,",3.46356295050395,1.03110285706087
7,26,",,,,,,,,,,,",3.45556692215515,1.05110659338544
8,27,",,,,,,,,,,,",3.43760169994506,1.0081164484469
7,27,",,,,,,,,,,,",3.43131899231974,1.03503707902087
