delay_step,i_multiplier,seed,rmse,trial_path
2,14,7,3.6739971319834392,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00355_355_delay_step=2,i_multiplier=14,seed=7_2025-07-23_13-18-32"
2,20,542,3.6653124332427978,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00470_470_delay_step=2,i_multiplier=20,seed=542_2025-07-23_13-48-52"
2,22,2025,3.6625355084737143,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00325_325_delay_step=2,i_multiplier=22,seed=2025_2025-07-23_13-10-35"
2,28,103,3.6279424985249835,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00140_140_delay_step=2,i_multiplier=28,seed=103_2025-07-23_12-38-56"
2,26,114514,3.623830286661784,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00285_285_delay_step=2,i_multiplier=26,seed=114514_2025-07-23_12-59-13"
2,18,7,3.6203317006429034,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00365_365_delay_step=2,i_multiplier=18,seed=7_2025-07-23_13-20-50"
2,12,666,3.615662145614624,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00200_200_delay_step=2,i_multiplier=12,seed=666_2025-07-23_12-39-02"
4,14,542,3.5864640712738036,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00456_456_delay_step=4,i_multiplier=14,seed=542_2025-07-23_13-45-02"
4,12,542,3.581574487686157,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00451_451_delay_step=4,i_multiplier=12,seed=542_2025-07-23_13-43-23"
2,18,42,3.554328425725301,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00015_15_delay_step=2,i_multiplier=18,seed=42_2025-07-23_12-38-55"
2,22,666,3.538599459330241,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00225_225_delay_step=2,i_multiplier=22,seed=666_2025-07-23_12-43-03"
4,16,3407,3.5382049560546873,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00061_61_delay_step=4,i_multiplier=16,seed=3407_2025-07-23_12-38-55"
2,14,103,3.535715389251709,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00105_105_delay_step=2,i_multiplier=14,seed=103_2025-07-23_12-38-55"
2,24,2025,3.518390909830729,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00330_330_delay_step=2,i_multiplier=24,seed=2025_2025-07-23_13-11-25"
2,18,666,3.5019976774851482,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00215_215_delay_step=2,i_multiplier=18,seed=666_2025-07-23_12-42-29"
2,16,666,3.491626278559367,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00210_210_delay_step=2,i_multiplier=16,seed=666_2025-07-23_12-39-03"
4,12,1113,3.491422478357951,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00151_151_delay_step=4,i_multiplier=12,seed=1113_2025-07-23_12-38-56"
2,16,2002,3.4735830942789714,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00410_410_delay_step=2,i_multiplier=16,seed=2002_2025-07-23_13-33-01"
2,12,1113,3.4520250161488852,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00150_150_delay_step=2,i_multiplier=12,seed=1113_2025-07-23_12-38-56"
2,18,2025,3.4312310536702473,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00315_315_delay_step=2,i_multiplier=18,seed=2025_2025-07-23_13-07-26"
2,24,1113,3.4246439933776855,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00180_180_delay_step=2,i_multiplier=24,seed=1113_2025-07-23_12-38-56"
4,20,103,3.3936997731526692,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00121_121_delay_step=4,i_multiplier=20,seed=103_2025-07-23_12-38-56"
2,14,114514,3.3544307072957356,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00255_255_delay_step=2,i_multiplier=14,seed=114514_2025-07-23_12-51-00"
4,24,2025,3.3537829081217447,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00331_331_delay_step=4,i_multiplier=24,seed=2025_2025-07-23_13-11-32"
2,18,2002,3.350465250015259,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00415_415_delay_step=2,i_multiplier=18,seed=2002_2025-07-23_13-34-37"
2,16,42,3.34858717918396,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00010_10_delay_step=2,i_multiplier=16,seed=42_2025-07-23_12-38-54"
2,16,42,3.34858717918396,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_46523_00010_10_delay_step=2,i_multiplier=16,seed=42_2025-07-23_12-34-11"
2,22,1113,3.345892826716105,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00175_175_delay_step=2,i_multiplier=22,seed=1113_2025-07-23_12-38-56"
2,12,103,3.3422332763671876,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00100_100_delay_step=2,i_multiplier=12,seed=103_2025-07-23_12-38-55"
2,28,3407,3.32582688331604,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00090_90_delay_step=2,i_multiplier=28,seed=3407_2025-07-23_12-38-55"
2,30,2002,3.31606019337972,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00445_445_delay_step=2,i_multiplier=30,seed=2002_2025-07-23_13-42-29"
6,12,542,3.300973574320475,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00452_452_delay_step=6,i_multiplier=12,seed=542_2025-07-23_13-44-07"
2,22,2002,3.289771302541097,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00425_425_delay_step=2,i_multiplier=22,seed=2002_2025-07-23_13-36-47"
4,16,103,3.2810476779937745,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00111_111_delay_step=4,i_multiplier=16,seed=103_2025-07-23_12-38-56"
6,16,7,3.279078483581543,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00362_362_delay_step=6,i_multiplier=16,seed=7_2025-07-23_13-20-00"
4,18,2025,3.234167702992757,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00316_316_delay_step=4,i_multiplier=18,seed=2025_2025-07-23_13-07-33"
2,26,42,3.2209949334462484,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00035_35_delay_step=2,i_multiplier=26,seed=42_2025-07-23_12-38-55"
4,12,3407,3.2118879159291587,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00051_51_delay_step=4,i_multiplier=12,seed=3407_2025-07-23_12-38-55"
2,18,3407,3.1897298177083333,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00065_65_delay_step=2,i_multiplier=18,seed=3407_2025-07-23_12-38-55"
2,22,542,3.171293544769287,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00475_475_delay_step=2,i_multiplier=22,seed=542_2025-07-23_13-50-38"
2,20,42,3.166615645090739,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00020_20_delay_step=2,i_multiplier=20,seed=42_2025-07-23_12-38-55"
2,20,3407,3.1542972167332968,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00070_70_delay_step=2,i_multiplier=20,seed=3407_2025-07-23_12-38-55"
2,14,3407,3.152177397410075,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00055_55_delay_step=2,i_multiplier=14,seed=3407_2025-07-23_12-38-55"
8,12,7,3.1519156455993653,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00353_353_delay_step=8,i_multiplier=12,seed=7_2025-07-23_13-18-01"
2,28,1113,3.141469621658325,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00190_190_delay_step=2,i_multiplier=28,seed=1113_2025-07-23_12-38-56"
4,18,103,3.123715798060099,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00116_116_delay_step=4,i_multiplier=18,seed=103_2025-07-23_12-38-56"
2,28,114514,3.115706523259481,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00290_290_delay_step=2,i_multiplier=28,seed=114514_2025-07-23_13-00-44"
2,12,2025,3.111528428395589,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00300_300_delay_step=2,i_multiplier=12,seed=2025_2025-07-23_13-03-29"
4,16,114514,3.0609559218088784,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00261_261_delay_step=4,i_multiplier=16,seed=114514_2025-07-23_12-53-49"
2,12,2002,3.05436315536499,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00400_400_delay_step=2,i_multiplier=12,seed=2002_2025-07-23_13-30-35"
