delay,dimension,test_rmse,mean_rmse,std_rmse
7,27,",,,,,,,,,,,",5.27322806279022,1.34485845534198
4,19,",,,,,,,,,,,",5.27286461726851,1.2579949276521
10,22,",,,,,,,,,,,",5.27119333473204,1.34328099662669
9,18,",,,,,,,,,,,",5.27114947190079,1.28615971474113
4,18,",,,,,,,,,,,",5.26776886426363,1.24538413809206
9,20,",,,,,,,,,,,",5.26670322428071,1.2996144670122
5,19,",,,,,,,,,,,",5.25541851586305,1.27460020121558
1,16,",,,,,,,,,,,",5.25347424329334,1.180895077095
5,18,",,,,,,,,,,,",5.24989113284402,1.2630872677561
2,14,",,,,,,,,,,,",5.24905164543714,1.15075244352881
3,21,",,,,,,,,,,,",5.24876230474588,1.258644980395
10,23,",,,,,,,,,,,",5.24637288714021,1.36007952459164
4,20,",,,,,,,,,,,",5.24546065449069,1.25342932612034
3,22,",,,,,,,,,,,",5.2302867278045,1.25991617867718
4,25,",,,,,,,,,,,",5.23021461173088,1.29086148088004
5,20,",,,,,,,,,,,",5.229103439117,1.27154672519073
6,19,",,,,,,,,,,,",5.22768024885548,1.29131682829518
4,24,",,,,,,,,,,,",5.22473102177423,1.2869301705609
6,18,",,,,,,,,,,,",5.22264643703529,1.28107605059316
8,19,",,,,,,,,,,,",5.22231466021435,1.30062354944914
2,15,",,,,,,,,,,,",5.22231062293195,1.1611701259208
3,23,",,,,,,,,,,,",5.22160844002445,1.27055073339771
8,18,",,,,,,,,,,,",5.2186105348005,1.29240154135105
9,21,",,,,,,,,,,,",5.21815689308097,1.35506580182867
9,14,",,,,,,,,,,,",5.21398267100773,1.27861909849681
9,25,",,,,,,,,,,,",5.21346734333884,1.3531463104318
8,14,",,,,,,,,,,,",5.2125785565279,1.27438414435134
9,24,",,,,,,,,,,,",5.20919517931512,1.35156050260161
10,14,",,,,,,,,,,,",5.20419456771642,1.28042679911625
9,22,",,,,,,,,,,,",5.20237814309098,1.35714104676894
6,20,",,,,,,,,,,,",5.20219712067027,1.28857458528935
8,20,",,,,,,,,,,,",5.20218493488032,1.30288133234003
7,19,",,,,,,,,,,,",5.20177030581986,1.29697296635068
4,21,",,,,,,,,,,,",5.20036219547329,1.29550620644772
3,14,",,,,,,,,,,,",5.19913653314373,1.17484160856918
7,14,",,,,,,,,,,,",5.1990357572402,1.26469216127604
7,18,",,,,,,,,,,,",5.19807797663259,1.28880652895452
5,25,",,,,,,,,,,,",5.19635090734286,1.31394330219845
6,14,",,,,,,,,,,,",5.1920725718796,1.24742748499657
5,24,",,,,,,,,,,,",5.19150434520295,1.31067899427396
5,14,",,,,,,,,,,,",5.18760320071888,1.22352490227229
5,21,",,,,,,,,,,,",5.1840672703947,1.31597002085692
4,14,",,,,,,,,,,,",5.18283661076716,1.20005505953992
4,22,",,,,,,,,,,,",5.18243059903609,1.29760315824309
9,23,",,,,,,,,,,,",5.1795747404292,1.37297783499022
7,20,",,,,,,,,,,,",5.17643468465287,1.29423321120516
4,23,",,,,,,,,,,,",5.17016719618674,1.30863688697078
3,15,",,,,,,,,,,,",5.16995636695926,1.18381760401315
9,15,",,,,,,,,,,,",5.16901847322439,1.28076821839151
5,22,",,,,,,,,,,,",5.16556065871397,1.31746979902732
8,15,",,,,,,,,,,,",5.16438210716623,1.27568573099285
10,15,",,,,,,,,,,,",5.16378740101564,1.28405493583621
6,25,",,,,,,,,,,,",5.16040887165414,1.33554205902225
6,21,",,,,,,,,,,,",5.15767340774379,1.33616634419259
2,17,",,,,,,,,,,,",5.15663108059062,1.19733089575167
8,21,",,,,,,,,,,,",5.15629416371668,1.35150119628281
6,24,",,,,,,,,,,,",5.15587913536189,1.33277324838598
7,15,",,,,,,,,,,,",5.15273916574636,1.26730826289187
5,23,",,,,,,,,,,,",5.15187797794885,1.32855045026659
8,25,",,,,,,,,,,,",5.14864644266914,1.34946125160848
4,15,",,,,,,,,,,,",5.14740079769104,1.20892901317943
6,15,",,,,,,,,,,,",5.14700886773963,1.25145704849538
8,24,",,,,,,,,,,,",5.14659230302271,1.34650034578633
5,15,",,,,,,,,,,,",5.14532812313718,1.22987062839306
6,22,",,,,,,,,,,,",5.13879749287005,1.33781301824095
8,22,",,,,,,,,,,,",5.13831103132493,1.35344653246599
7,21,",,,,,,,,,,,",5.13246850811546,1.34155128918455
10,17,",,,,,,,,,,,",5.12907287342304,1.31493744049922
2,16,",,,,,,,,,,,",5.12734873730579,1.16675060110754
10,16,",,,,,,,,,,,",5.12662595500345,1.28233750792544
7,25,",,,,,,,,,,,",5.12567740277931,1.34201546115354
9,16,",,,,,,,,,,,",5.12495809645333,1.27639877980605
7,24,",,,,,,,,,,,",5.12231903191516,1.33890057242987
6,23,",,,,,,,,,,,",5.12185692316246,1.34952884984054
8,23,",,,,,,,,,,,",5.11779716932067,1.36777534674649
9,17,",,,,,,,,,,,",5.11716384844323,1.30361451276671
7,22,",,,,,,,,,,,",5.11441024929956,1.34375778996073
8,16,",,,,,,,,,,,",5.10176325309923,1.26903372561383
7,23,",,,,,,,,,,,",5.09565098662576,1.35611008440192
8,17,",,,,,,,,,,,",5.08957047290398,1.29041799222897
3,17,",,,,,,,,,,,",5.07584550149088,1.22540190448689
7,16,",,,,,,,,,,,",5.07206486684881,1.25926949369745
3,16,",,,,,,,,,,,",5.06717694810493,1.18532245376881
6,16,",,,,,,,,,,,",5.06246124349187,1.24524913720563
7,17,",,,,,,,,,,,",5.05752425126752,1.28050661454686
5,16,",,,,,,,,,,,",5.05425531714668,1.22455287486791
6,17,",,,,,,,,,,,",5.05047955655251,1.2682340081035
4,16,",,,,,,,,,,,",5.04714764550512,1.20683320525234
5,17,",,,,,,,,,,,",5.0451998160324,1.25223186518277
4,17,",,,,,,,,,,,",5.0436929875744,1.24274482760629
